ZONA, NUMERACION_INICIAL, NUMERACION_FINAL, OCUPACION, MODALIDAD, RAZON_SOCIAL, FECHA_ASIGNACION
4,4615400000,4615409999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4615410000,4615419999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6241439000,6241439999,1000,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",31/08/1999,
4,4615420000,4615429999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525025000,4525025255,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",17/04/2001,
4,4615430000,4615439999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4615440000,4615449999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4615450000,4615459999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4615470000,4615479999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4615480000,4615489999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4615490000,4615499999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4615500000,4615504999,5000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9822563000,9822569999,7000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9822957000,9822959999,3000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9822970000,9822979999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525027000,4525027255,256,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",26/01/2001,
9,9822980000,9822989999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9822990000,9822999999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9823000000,9823009999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9823010000,9823019999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9823020000,9823029999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9823030000,9823039999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9823040000,9823049999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9823050000,9823059999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9823060000,9823069999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3761271000,3761279999,9000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525030000,4525031183,1184,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",24/06/1999,
3,3761420000,3761420999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9832495000,9832499999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833038000,9833039999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833130000,9833132999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833140000,9833149999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833150000,9833159999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833160000,9833169999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833170000,9833179999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833180000,9833189999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833190000,9833199999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525033000,4525033999,1000,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",24/06/1999,
9,9833200000,9833209999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833210000,9833219999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833220000,9833229999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9833230000,9833239999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147308000,6147309999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147610000,6147617999,8000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147620000,6147629999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147630000,6147639999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147640000,6147649999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147650000,6147659999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525031184,4525031327,144,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",26/03/2001,
6,6147660000,6147669999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147670000,6147679999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147680000,6147689999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147690000,6147699999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147700000,6147709999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6147710000,6147719999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7561987000,7561989999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562100000,7562106999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562110000,7562119999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562120000,7562129999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525034000,4525034999,1000,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",21/02/2002,
7,7562130000,7562139999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562140000,7562149999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562150000,7562159999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562160000,7562169999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562170000,7562179999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562180000,7562189999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562190000,7562199999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7562200000,7562209999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473518000,7473519999,2000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473590000,7473599999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525038000,4525038511,512,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",26/03/2001,
7,7473600000,7473609999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473610000,7473619999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473620000,7473629999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473630000,7473639999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473640000,7473649999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473650000,7473659999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473660000,7473669999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473670000,7473679999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473680000,7473687999,8000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7473690000,7473699999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525040000,4525049999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",02/12/1999,
9,9233131000,9233139999,9000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233150000,9233159999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233160000,9233169999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233170000,9233179999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233180000,9233189999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233190000,9233199999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233200000,9233209999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233210000,9233219999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233220000,9233229999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233240000,9233249999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525050000,4525056999,7000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",31/07/2000,
9,9233250000,9233250999,1000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9233260000,9233269999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8251207000,8251209999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8251230000,8251236999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9681763000,9681769999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682627000,9682629999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682690000,9682699999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682700000,9682709999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682710000,9682719999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682720000,9682729999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525057000,4525059999,3000,MPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",31/07/2000,
9,9682730000,9682739999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682740000,9682749999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682750000,9682759999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682760000,9682769999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682770000,9682779999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9682780000,9682789999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772426000,8772429999,4000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772470000,8772479999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772480000,8772489999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772490000,8772499999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6241443000,6241444499,1500,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",04/02/2000,
4,4525060000,4525069999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",13/09/2000,
8,8772500000,8772509999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772510000,8772519999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772520000,8772529999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772530000,8772539999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772540000,8772549999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772550000,8772559999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772560000,8772565999,6000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8772570000,8772579999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9382579000,9382579999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
9,9382840000,9382848999,9000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525170000,4525179999,10000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",30/11/2000,
6,6761827000,6761829999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6762010000,6762016999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8911292000,8911299999,8000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8911320000,8911321999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3412511000,3412519999,9000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3412995000,3412999999,5000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413050000,3413059999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413060000,3413069999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413070000,3413079999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413080000,3413089999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525180000,4525181999,2000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",26/04/1999,
3,3413090000,3413099999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413100000,3413109999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413110000,3413119999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413120000,3413129999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413130000,3413135999,6000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
3,3413140000,3413149999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862425000,7862429999,5000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862480000,7862489999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862490000,7862499999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862500000,7862509999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525182000,4525187999,6000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",10/05/2000,
7,7862510000,7862519999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862520000,7862529999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862530000,7862539999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862540000,7862549999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862550000,7862559999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862560000,7862569999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862570000,7862574999,5000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7862580000,7862589999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7532653000,7532659999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533005000,7533007999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525188000,4525189999,2000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",26/09/2001,
7,7533030000,7533039999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533040000,7533049999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533050000,7533059999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533060000,7533069999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533070000,7533079999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533080000,7533089999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533090000,7533099999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533100000,7533109999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533110000,7533119999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
7,7533120000,7533129999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525190000,4525197999,8000,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",13/04/1999,
8,8312195000,8312199999,5000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312830000,8312839999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312840000,8312849999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312850000,8312859999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312860000,8312869999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312870000,8312879999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312880000,8312889999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312890000,8312899999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312900000,8312909999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312910000,8312919999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525198000,4525198999,1000,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",13/04/1999,
8,8312920000,8312924999,5000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8312930000,8312939999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641692000,8641699999,8000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641830000,8641831999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641840000,8641849999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641850000,8641859999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641860000,8641869999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641870000,8641879999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641880000,8641889999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641890000,8641899999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641900000,8641909999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525199000,4525199999,1000,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",13/04/1999,
8,8641910000,8641919999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641920000,8641929999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8641930000,8641939999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8971930000,8971939999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8971940000,8971949999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8971950000,8971959999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8971960000,8971969999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8971970000,8971979999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8971980000,8971989999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8971990000,8971999999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525200000,4525207999,8000,CPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",26/04/1999,
8,8972000000,8972009999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8972010000,8972019999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8972020000,8972029999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8972030000,8972039999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8140795000,8140799999,5000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141800000,8141809999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141810000,8141819999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141820000,8141829999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141830000,8141839999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
4,4525208000,4525209999,2000,MPP,"RADIOMOVIL DIPSA, S.A. DE C.V.",26/04/1999,
8,8141840000,8141849999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141850000,8141859999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141860000,8141869999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141870000,8141879999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141880000,8141889999,10000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141890000,8141894999,5000,CPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
8,8141900000,8141909999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
6,6444438000,6444439999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",12/07/2022,
