ZONA, NUMERACION_INICIAL, NUMERACION_FINAL, OCUPACION, MODALIDAD, RAZON_SOCIAL, FECHA_ASIGNACION
6,6872128000,6872129999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6872130000,6872139999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6872140000,6872147999,8000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414130000,3414138703,8704,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",31/12/1995,
6,6625351000,6625359999,9000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6625360000,6625369999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6625370000,6625370999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6222171000,6222179999,9000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6222180000,6222189999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6222190000,6222190999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6312390000,6312399999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6312400000,6312409999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2227470000,2227470999,1000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7151865000,7151869999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414138704,3414139087,384,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",14/03/2000,
7,7151870000,7151879999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7151880000,7151884999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6271728000,6271729999,2000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6271750000,6271759999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6271760000,6271767999,8000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2471750000,2471759999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
2,2471760000,2471769999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7761523000,7761529999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7761550000,7761559999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6646300000,6646301999,2000,FIJO,"TELEFONOS DEL NOROESTE, S.A. DE C.V.",31/12/1995,
7,7761560000,7761562999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414139088,3414139499,412,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",22/02/2001,
7,7331920000,7331929999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
7,7331930000,7331939999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4623305000,4623309999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4623420000,4623429999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
4,4623430000,4623434999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6291515000,6291519999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6291540000,6291549999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6291550000,6291554999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6568137000,6568139999,3000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
6,6568290000,6568299999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
3,3414146000,3414146999,1000,FIJO,"TELEFONOS DE MEXICO, S.A.B. DE C.V.",04/05/2001,
6,6568300000,6568306999,7000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9712605000,9712609999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9712660000,9712669999,10000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
9,9712670000,9712674999,5000,MPP,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",30/10/2018,
